district_name,area_key,area_label,goal_count,action_count,metric_count,action_dollars,externalizable_dollars,movement_points,movement_improving,movement_flat,movement_worsening,movement_negative_share,pace_metrics,pace_positive,pace_negative,pace_negative_share,top_action_1,top_action_1_dollars,top_action_2,top_action_2_dollars,metric_example_1,metric_example_1_status,metric_example_1_diff
Milpitas Unified School District,english_learner_progress,English Learner Progress & Reclassification,1,19,3,12986286.0,4658472.05,7,7,0,0,0.0,2,1,1,0.5,"English Learner
Development",292584.0,"English Learner
Parent Workshops",5775.0,"Annual Reclassification
Rate for Grades 3-12",off_track,+1.4%
Fremont Union High School District,ela_proficiency,ELA Proficiency & Literacy,0,11,1,5054812.81,3047626.28,13,10,0,3,0.2308,1,0,1,1.0,"ELA: Targeted
Intervention",210764.81,"ELA: Skill
Development",280106.0,"By student group,
increase to 100% the
percentage of students
deemed “ready for
college” or ""conditionally
ready for college"" as
measured on CAASPP
with a score of 3 or 4 to
indicate ""met or
exceeded standard"" in
the area of ELA and
Mathematics.",off_track,American:+20%/+3
Gilroy Unified School District,mental_health_wellness,"Mental Health, SEL & Wellness",1,10,0,8434191.0,6771992.3,0,0,0,0,0.0,0,0,0,0.0,3.5 Wellness,817000.0,"Wellness Center
Needs",178000.0,,,
Fremont Union High School District,english_learner_progress,English Learner Progress & Reclassification,0,6,5,4720547.75,3169141.15,8,6,1,1,0.125,3,0,3,1.0,"LTEL: Targeted
Intervention",2322237.0,"ELD: Targeted
Intervention",1974489.0,"Increase to 100% the
percentage of English
Learners (ELs) who
reach and maintain
English Learner
Progress Indicator
(ELPI) Level 4 or
progress at least one
ELPI level as measured
by the English Language
Proficiency Assessments
for CA (ELPAC).",moving_away,-4.8%
Campbell Union High School District,college_career_readiness,"College, Career & Postsecondary Readiness",2,14,7,5596065.0,3776645.6,71,49,5,17,0.2394,6,3,3,0.5,"College and Career
Readiness Supports
for Students with
IEPs",0.0,"College and career
planning support
systems",60686.0,"State Priority 4B. A-G
Completion Rates",moving_away,+0.8%
Cupertino Union Elementary School District,math_proficiency,Math Proficiency,0,5,4,3884534.0,2585603.7,15,7,0,8,0.5333,3,0,3,1.0,"Math Intervention
Teachers",1524550.0,Math Intervention Teachers,1524550.0,"Math: iReady Scores 6-8
(Window #3):
Percentage of students
on grade level",moving_away,All Students: -3%
Fremont Union High School District,mental_health_wellness,"Mental Health, SEL & Wellness",0,9,1,10294628.68,6476794.01,8,6,2,0,0.0,0,0,0,0.0,"Mental Health and
Wellness Student
Support",1558767.0,Wellness Space,261450.0,"Using a check-in and
check-out survey when
accessing a wellness
space, students across
grade levels, genders,
abilities, racial, ethnic,
and socioeconomic
backgrounds will report
maintenance of or a",,happy +5.9%;
Santa Clara Unified School District,math_proficiency,Math Proficiency,0,10,7,3986584.0,2914172.8,49,18,4,27,0.551,6,2,4,0.6667,"Provide professional
learning and
instructional coaching
to enhance
certificated teacher,
classified staff and
site administrator
capacity to improve
student learning,
achievement in
literacy and
mathematics and
graduation rates, with
a focus on English
learners,
Hispanic/Latino
students, foster and
homeless youth, low
income students and",692360.0,"Provide professional
learning and instructional
coaching to enhance
certificated teacher,
classified staff and site
administrator capacity to
improve student
learning, achievement in
literacy and mathematics
and graduation rates,
with a focus on English
learners, Hispanic/Latino
students, foster and
homeless youth, low
income students and
students with disabilities.",692360.0,"11th Grade Math
EAP/CAASPP, Standard
Met/Exceeded",moving_away,All: -12.5%
Gilroy Unified School District,school_climate_suspension,"School Climate, Behavior & Suspension",1,5,4,4160342.0,2982515.05,12,5,2,5,0.4167,4,1,3,0.75,Behavior & Discipline,1710303.0,"Climate and Culture
(Diversity &
Belonging)",818915.0,MMHS Suspension Rate,moving_away,+1.4%
Palo Alto Unified School District,college_career_readiness,"College, Career & Postsecondary Readiness",2,2,5,7667722.0,2578936.2,4,1,1,2,0.5,1,0,1,1.0,"Student advising and
support",5226959.0,English Learners,2440763.0,"P4.D Percentage of all
students in the combined
four- and five-year
cohort graduation rate
who met UC/CSU (a-g)
requirements and
completed at least one
CTE Pathway
Source: Dashboard
UC/CSU & CTE",moving_away,-1.9%
Morgan Hill Unified School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,30,1,6372056.58,4245111.94,2,1,0,1,0.5,0,0,0,0.0,"Expanded Learning
Opportunities -
Provide access to
extended
programming for all
students with a focus
on English Learners,",360000.0,"Administrative Support
focused on
Implementing
Differentiated
Interventions
Youth, Foster Youth, and
Socioeconomically
Disadvantaged students.
(Differentiated
Assistance and CA
School Dashboard -
Academics).
and Socioeconomically
Disadvantaged students.
(Differentiated
Assistance and CA
School Dashboard -
Academics)
Youth, and
Socioeconomically
Disadvantaged students
with skills and support
through an elective
class, tutoring, and
schoolwide strategies to
prepare for college and
career success.
(Differentiated
Assistance and CA
School Dashboard -
Academics)
differentiated
Targeted/Tier II math
instruction to middle
school students who
have not succeeded
through Universal/Tier I
and Targeted/Tier II
classroom-based
instruction to improve
outcomes for English
Learners, Homeless
Youth, Foster Youth, and
Socioeconomically
Disadvantaged students.
(Differentiated
Assistance and CA
School Dashboard -
Academics).
close opportunity gaps
and increase the
representation of English
Learners,
Socioeconomically
Disadvantaged, and
Foster Youth in
challenging coursework.
(CA School Dashboard -
Academics)
and study strategies by
offering them support
through an elective
class, tutoring, and
mentorship, while also
promoting a schoolwide
culture of high
expectations and college
readiness. Improving
outcomes for English
Learners,
Socioeconomically
Disadvantaged, Foster
Youth, and Homeless
Youth. (Differentiated
Assistance and CA
School Dashboard -
Academics)
School Dashboard -
College Career
Readiness, Graduation
Rate)
preparation, and social
activities to build
students' confidence and
readiness for their new
school environment.
(Differentiated
Assistance - Academics)
highlights students'
dedication to civic
responsibility,
leadership, and service,
encouraging them to
become engaged
members of their
communities and
contributing positively to
society. (CA Dashboard
- Academics, Career and
College Readiness)
Assistance and CA
School Dashboard -
Academics).
supported and included
in the learning
environment to improve
outcomes for English
Learners, Foster Youth,
and Socioeconomically
Disadvantaged students
dually identified as
Students with
Disabilities.
(Differentiated
Assistance and CA
School Dashboard -
Academics; Special
Education Study)
and Socioeconomically
Disadvantaged students
dually identified as
Students with
Disabilities. (CA School
Dashboard - Suspension
Rate)
and Socioeconomically
Disadvantaged students
dually identified as
Students with
Disabilities. (CA
Dashboard - Academics,
Suspension)
resources, and activities
that promote active
family involvement in
education to improve
outcomes for English
Learners, Foster Youth,
and Socioeconomically
Disadvantaged students.
(CA School Dashboard -
Academics, Chronic
Absenteeism,
Suspension, Graduation
Rate)
with homework, and
fostering positive
behavior and
communication at home
to improve outcomes for
English Learners, Foster
Youth, and
Socioeconomically
Disadvantaged students.
(CA School Dashboard -
Academics, Chronic
Absenteeism,
Suspension, Graduation
Rate)
success and well-being
of students identified as
English Learner and/or
migrant. (CA School
Dashboard - Academics,
Chronic Absenteeism,
Suspension, Graduation
Rate)
including professional
development, behavioral
supports, community-
building activities,
cultural competency
training, and wellness
initiatives to promote
academic success,
social-emotional
development, and well-
being to improve student
outcomes for English
Learners, Foster Youth,
Homeless Youth and
Socioeconomically
Disadvantaged students
(Differentiated
Assistance and CA
Dashboard - Academics,
Chronic Absenteeism,
Suspension, Graduation
Rate)
mental, and emotional
well-being of students to
provide students with the
knowledge, skills, and
resources they need to
make informed decisions
and adopt healthy
behaviors to improve
student outcomes for
English Learners, Foster
Youth, Homeless Youth
and Socioeconomically
Disadvantaged students
(Differentiated
Assistance and CA
Dashboard - Academics,
Chronic Absenteeism,
Suspension, Graduation
Rate)
settings or programs
designed to meet the
unique needs of
students who require
alternative approaches
to learning due to
academic, behavioral, or
social-emotional
challenges to improve
student outcomes for
English Learners, Foster
Youth, and
Socioeconomically
Disadvantaged students.
(Differentiated
Assistance and CA
Dashboard - Academics,
Chronic Absenteeism,
Suspension, Graduation
Rate).
families and community-
based organizations that
provide comprehensive
support and resources to
improve student
outcomes for Foster
Youth and
Socioeconomically
Disadvantaged students.
(Differentiated
Assistance and CA
Dashboard - Academics,
Chronic Absenteeism,
Suspension, Graduation
Rate)
and Socioeconomically
Disadvantaged students
(Differentiated
Assistance and CA
Dashboard - Academics,
Chronic Absenteeism,
Suspension, Graduation
Rate)",610238.0,"Pupil Engagement:
Percentage of students
referred out to for School
Linked Services (SLS)
and Prevention Early
Intervention (PEI) for
qualifying schools
(DataZone)",,2024-25
Morgan Hill Unified School District,college_career_readiness,"College, Career & Postsecondary Readiness",1,38,14,5189023.94,3525646.85,83,68,2,13,0.1566,11,4,7,0.6364,"Implement and Support
Dual Enrollment Courses
- Provide high school
students an opportunity
to enroll in college-level
courses and earn both
high school and college
credit simultaneously,
providing students with
an opportunity to
experience college-level
coursework, explore
potential career
interests, and accelerate
their progress toward a
college degree. (CA
School Dashboard -
College and Career
Readiness)",29950.0,"Cal-SOAP Support -
Provide middle
school students
access to a program
designed to increase
the accessibility of
postsecondary
education for English
Learners, Foster
Youth, Homeless
Youth, and
Socioeconomically
Disadvantaged
students.The
program provides
academic tutoring,
college and career
counseling/coaching,
and various outreach
activities to help
students find success
in middle school and",10000.0,"Pupil Achievement:
Graduates that have
successfully completed
courses that satisfy
UC/CSU a-g university
entrance requirements
(Cohort/DataQuest)",moving_away,Class of 2024
Morgan Hill Unified School District,school_climate_suspension,"School Climate, Behavior & Suspension",2,19,14,4504467.59,3026118.1,52,34,1,17,0.3269,8,2,6,0.75,"Site Support for
Student
Engagement, Social
Emotional Learning,
and School Climate -
Collaborate with
school sites in
meeting the district
goals for improving
student engagement,
social emotional, and
school climate to
improve student
outcomes for English",567352.57,"Site Support for Student
Engagement, Social
Emotional Learning, and
School Climate -
Collaborate with school
sites in meeting the
district goals for
improving student
engagement, social
emotional, and school
climate to improve
student outcomes for
English Learners, Foster
Youth and
Socioeconomically
Disadvantaged students.
(Differentiated
Assistance and CA
Dashboard -Chronic
Absenteeism).",567352.0,"School Climate:
Suspension Rate
(DataQuest)",off_track,2023-24
Cupertino Union Elementary School District,english_learner_progress,English Learner Progress & Reclassification,0,8,4,4199336.0,2921295.5,18,10,0,8,0.4444,3,1,2,0.6667,"English Learner
Support",140631.0,English Learner Support,140631.0,"from Standard (points
above or below) for All
students, African
American students (AA),
socio-economically
disadvantaged (SED)
students, English
Learner (EL) students,
Redesigned Fluent
English Proficient (RFEP
students), and Students
with Disabilities (SWDs)",moving_away,AA: +6 points
Morgan Hill Unified School District,ela_proficiency,ELA Proficiency & Literacy,2,38,21,5132996.3,3074275.31,297,161,16,120,0.404,10,5,5,0.5,"Reading Intervention
Programming -
Provide specialized
professional
development and
instructional
materials to the
reading intervention
staff to address the
needs of students
receiving
Targeted/Tier II and
Intensive/Tier III
instruction to improve
outcomes for English
Learners, Homeless
Youth, Foster Youth,
and
Socioeconomically",26574.0,"Reading Intervention
Teachers - Provide
differentiated
Targeted/Tier II and
Intensive/Tier III
reading instruction to
elementary students
who have not
succeeded through
Universal/Tier I and
Targeted/Tier II
classroom-based
instruction to improve
outcomes for English
Learners, Homeless
Youth, Foster Youth,
and
Socioeconomically
Disadvantaged
students. (CA School
Dashboard -
Academics).",1274901.15,"Pupil Achievement:
SWD Statewide
Assessment SBAC in
English Language Arts
(ELA)
(SBAC Test Results at a
Glance)",off_track,2023-24
Mt. Pleasant Elementary School District (MPESD),english_learner_progress,English Learner Progress & Reclassification,0,19,3,4228030.0,2872965.75,5,4,1,0,0.0,1,0,1,1.0,"Designated and
Integrated ELD
Curriculum and ELD
professional
development for
teachers for EL and
LTEL",42868.0,"Extended Learning
Support Beyond the
Regular School Day",1900000.0,Reclassification Rate,moving_away,rate by -1.5%
Mountain View Whisman School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,16,0,8502051.0,5685821.6,0,0,0,0,0.0,0,0,0,0.0,"Addressing
Academic Outcomes",10000.0,"Supports for
Students with
Disabilities -
Differentiated
Assistance",4000.0,,,
Oak Grove School District,special_education_inclusion,Special Education & Inclusion,1,7,0,24357648.0,5279465.2,0,0,0,0,0.0,0,0,0,0.0,"Special Education
Supplemental
Curriculum and
Training",152965.0,"Special Education
Support Staff",22736726.0,,,
Evergreen Elementary School District Board of Trustees,ela_proficiency,ELA Proficiency & Literacy,0,8,3,3229158.0,2383126.0,29,14,0,15,0.5172,3,1,2,0.6667,Teacher Support,750827.0,New Tech Network,132000.0,"Language Arts (ELA)
and Math assessments
and the California
Science Test (CAST);
California Alternate
Assessments (ELA,
Math, Science)
(Source: Test Results for
California's
Assessments)",moving_away,ELA: -2.89%
Saratoga Union School District,ela_proficiency,ELA Proficiency & Literacy,0,14,1,3821406.0,2563395.9,1,0,1,0,0.0,1,0,1,1.0,"ELA/ELD focused
services for English
learner students",839561.0,"ELA/ELD
Interventions",5000.0,"Priority 3: Parental
Involvement and Family
Engagement
How the LEA will
determine the translation
needs of English learner
parents
Source: DELAC
meetings, parent/teacher
conferences",moving_away,0%
Cupertino Union Elementary School District,special_education_inclusion,Special Education & Inclusion,0,6,4,3901395.0,2763139.4,17,12,0,5,0.2941,4,2,2,0.5,"Sonday Coaching for
Special Education
Teachers",0.0,"Reading Intervention
Teachers",1778893.0,"from Standard (points
above or below) for All
students, African
American students (AA),
socio-economically
disadvantaged (SED)
students, English
Learner (EL) students,
Redesigned Fluent
English Proficient (RFEP
students), and Students
with Disabilities (SWDs)",moving_away,AA: +6 points
Cupertino Union Elementary School District,ela_proficiency,ELA Proficiency & Literacy,0,7,4,4292443.0,2893026.6,20,16,0,4,0.2,4,2,2,0.5,"Reading Intervention
Teachers",1778893.0,"Instructional
Assistants (IAs) for
Reading Intervention",683224.0,"Reading: iReady Grades
6-8 (Window #2):
Percentage of students
on grade level",moving_away,All Students: -1%
Mountain View Whisman School District,chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,0,9,2,3331507.0,2509040.15,22,0,1,21,0.9545,2,2,0,0.0,"Addressing Chronic
Absenteeism
Differentiated
Assistance",133416.0,"Improving
Attendance Rates",0.0,"State Priority 5
Chronic Absenteeism
Rates",on_track,2023-24 California
Union Elementary School District,english_learner_progress,English Learner Progress & Reclassification,1,11,1,3929679.0,2450145.05,1,1,0,0,0.0,1,0,1,1.0,"English Learner
Committee",26023.0,"English Learner and
Special Education
Support",351267.0,"English Learner
reclassification rate",off_track,0.3%
Gilroy Unified School District,family_community_engagement,Family & Community Engagement,0,4,3,3344927.0,2445746.8,1,1,0,0,0.0,2,0,2,1.0,3.4 Family Engagement,489671.0,"3.4 Family
Engagement",489671.0,"Percent of Schools with
fully constituted ELAC,
including DELAC rep",off_track,
Fremont Union High School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,9,0,7006727.85,4637773.35,0,0,0,0,0.0,0,0,0,0.0,"LTEL: Targeted
Intervention",2322237.0,"ELD: Targeted
Intervention",1974489.0,,,
Oak Grove School District,data_technology,Data Systems & Instructional Technology,0,4,0,6083011.0,4549709.9,0,0,0,0,0.0,0,0,0,0.0,"Technology Software
and Programs",553295.0,"Informational
Technology Staff, Online
Safety and Site
Technology Support",1849858.0,,,
Santa Clara Unified School District,data_technology,Data Systems & Instructional Technology,0,5,0,5100518.0,4111697.4,0,0,0,0,0.0,0,0,0,0.0,"Provide increased
coordination and support
for the college and
career readiness
program and services.
REVISED ACTION
Develop and/or
strengthen culturally-
relevant curriculum that
supports English
language, academic
literacy, mathematical,
research and technology
skills across content
areas.",30000.0,"Invest in
improvements and
training to increase
student and staff
perceptions and
experience of
campus safety and
security, with
particular attention to
the needs of our
unduplicated
students population.",2724702.0,,,
Evergreen Elementary School District Board of Trustees,english_learner_progress,English Learner Progress & Reclassification,0,12,5,3732225.0,1860582.1,18,7,0,11,0.6111,5,3,2,0.4,Hire 1 ELD coach,172323.0,"Supplemental
Resources to
Support ELD",165725.0,"Priority 4.E: Percentage
of English learner
students who are at or
above standard on the
Summative English
Language Proficiency
Assessments for
California (ELPAC)
(Source: Test Results for
California's
Assessments)",moving_away,-4.41%
Campbell Union High School District,ela_proficiency,ELA Proficiency & Literacy,0,6,2,2286432.0,1520276.7,37,22,1,14,0.3784,1,0,1,1.0,"Special Education
Course Alignment
and Interventions",10000.0,"Staffing for
Professional
Development and
Program Monitoring
of Emerging
Multilingual Students",2059526.0,"State Priority 4A. CA
School Dashboard
Academic Indicator -
English Language Arts
and math distance from
standard; California
Science Test percent
met or exceeded",moving_away,+1% tested
Campbell Union High School District,math_proficiency,Math Proficiency,0,3,3,2129526.0,1481168.2,58,33,0,25,0.431,2,0,2,1.0,"Staffing for
Professional
Development and
Program Monitoring
of Emerging
Multilingual Students",2059526.0,Curriculum Alignment,60000.0,"State Priority 4A. CA
School Dashboard
Academic Indicator -
English Language Arts
and math distance from
standard; California
Science Test percent
met or exceeded",moving_away,+1% tested
Morgan Hill Unified School District,math_proficiency,Math Proficiency,1,14,20,2739053.69,1724312.12,268,160,10,98,0.3657,10,3,7,0.7,"TK-12 Math
Alignment- District-
wide mathematics
professional
development and
alignment to improve
student outcomes for
English Learners,
Foster Youth, and
Socioeconomically
Disadvantaged
students (CA
Dashboard).",117499.36,"TK-5 Mathematics -
Provide professional
development in
collaboration with
outside organizations
to enhance
instruction leading to
the development of
foundational math
skills and improving
student outcomes for
English Learners,",112256.71,"Pupil Achievement:
iReady Math
Assessment Grades K to
8 Overall
(iReady Assessment)",moving_away,Grade Level: +4%
Berryessa Union Elementary School District,special_education_inclusion,Special Education & Inclusion,0,26,1,5801403.95,3434303.2,0,0,0,0,0.0,0,0,0,0.0,School Psychologists,1493944.0,"School Social
Workers",1322556.0,"individuals with
exceptional needs.",,
Mt. Pleasant Elementary School District (MPESD),math_proficiency,Math Proficiency,1,7,3,2466640.0,1675866.0,40,37,2,1,0.025,2,0,2,1.0,"Support teachers
new to the teaching
profession.",330550.0,"Purchase and
Implementation of i-
Ready",71442.0,"CAASPP Results for
English Language Arts,
Mathematics, and
Science",off_track,30% standard met
Saratoga Union School District,special_education_inclusion,Special Education & Inclusion,0,8,0,4820127.0,3322045.35,0,0,0,0,0.0,0,0,0,0.0,"A district Attendance
Committee with
representatives from
each school will be
formed to create district
protocols and build
strategies at each MTSS
tier.
District CA Dashboard
data shows LEA student
groups
(Socioeconomically
Disadvantaged 28.1%
chronically absent and
Students with Disabilities
16.5% chronically
absent)",0.0,"School
Refusal/Avoidance
Teams at each school
site to address Chronic
Absenteeism due to
School Refusal
CA Dashboard shows
Foothill Elementary
School as overall 13.7%
chronically absent and
specifically Asian
students as 11.8%
chronically absent, and
Students with Disabilities
22% chronically absent",0.0,,,
Oak Grove School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,8,0,6645300.0,3316960.3,0,0,0,0,0.0,0,0,0,0.0,"Intervention Systems and
Programs to Support
Extended Learning for
English Learners, Foster
Youth, Homeless Youth and
Socioeconomically
Disadvantaged Students",215972.0,"Expanded Learning
Opportunities and
Transportation Support
for Homeless Youth and
Foster Youth",4159166.0,,,
Berryessa Union Elementary School District,mental_health_wellness,"Mental Health, SEL & Wellness",1,23,0,5244393.18,3271476.0,0,0,0,0,0.0,0,0,0,0.0,School Social Workers,13225.0,School Psychologists,1493944.0,,,
Campbell Union High School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,9,0,4429041.0,3207852.95,0,0,0,0,0.0,0,0,0,0.0,"Family Engagement
and Tutoring",69812.0,"Family Engagement and
Tutoring",69812.0,,,
Cupertino Union Elementary School District,school_climate_suspension,"School Climate, Behavior & Suspension",0,6,3,1779929.0,1119490.0,11,2,0,9,0.8182,1,0,1,1.0,PBIS,277881.0,"Behavior Support
Team (General
Education)",0.0,"Pupil Suspension Rate:
Percent of students
suspended one or more
times
Data Source: CA
Dashboard
Pupil Expulsions",off_track,+0.2%
Evergreen Elementary School District Board of Trustees,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,6,0,5107201.0,3083647.6,0,0,0,0,0.0,0,0,0,0.0,"Additional resources
for sites to implement
Multi-Tiered Systems
of Support (MTSS)",1587307.0,"Additional resources for
sites to implement Multi-
Tiered Systems of
Support (MTSS)",15873.0,,,
Saratoga Union School District,mental_health_wellness,"Mental Health, SEL & Wellness",1,7,0,4491721.0,3071318.55,0,0,0,0,0.0,0,0,0,0.0,"Social-emotional
learning for a positive
foundation",121405.0,"Promote positive
behaviors",2315953.0,,,
Franklin-McKinley Elementary School District,special_education_inclusion,Special Education & Inclusion,0,12,6,11967500.0,2925392.65,0,0,0,0,0.0,0,0,0,0.0,"Teaching and Learning:
Special Education
Professional
Development (SCG)",0.0,"Teaching and Learning:
Special Education
Professional Development
( SCG)",0.0,"Student Engagement:
Priority 5.B
Percentage of students
who were chronically
absent: All students,
Students with Disabilities
(SWD), Foster Youth,
and Homeless students
Data Source: CA
Dashboard",,
Los Gatos-Saratoga Union High School District,college_career_readiness,"College, Career & Postsecondary Readiness",0,8,7,3328300.0,2302000.0,48,37,0,11,0.2292,6,6,0,0.0,Diverse Pathways,330000.0,"Academic
Interventions
(Contributing)",1246400.0,"Percentage of students
meeting UC/CSU
requirements
Source: DataQuest, Met
UC/CSU Requirements
and CTE Pathway
Completion report,
Graduates Meeting
UC/CSU Requirements
(Required Metric, State
Priority 4)",on_track,Year 1
Fremont Union High School District,school_climate_suspension,"School Climate, Behavior & Suspension",1,5,1,2669240.64,1922986.16,13,5,2,6,0.4615,0,0,0,0.0,Campus Climate,1454925.68,"Instructional
Technology",660820.0,"Maintain low suspension
rate and monitor that no
student groups are over-
represented among
suspended students.",,7.6%
Cupertino Union Elementary School District,college_career_readiness,"College, Career & Postsecondary Readiness",1,5,2,2260297.0,1558378.65,10,2,0,8,0.8,0,0,0,0.0,"iReady/NWEA
Diagnostic and
Personalized
Learning Pathway",361794.0,"Counseling/Mental
Health",1044982.0,"Connectedness, Safety,
Meaningful Participation:
Data Sources: California
Healthy Kids Survey
(CHKS)
Percentage of Grade 6,
Grade 7 and Grade 8
students reporting
""Strongly agree/agree""
for indicators of ""School
connectedness"" and
""School Safety"":
Updated for Grade 5 in
the 2024-2025 school
year (Year 1); Also
updated to add a new
area of the survey (Year
1) Meaningful
Participation as a metric
to measure progress
towards student
engagement in future-
ready, deeper learning",,2025-2026
Franklin-McKinley Elementary School District,english_learner_progress,English Learner Progress & Reclassification,0,16,5,3965907.0,2735068.05,0,0,0,0,0.0,0,0,0,0.0,"Teaching and
Learning:
Newcomers and EL
Professional
Development and
Program Support
(SCG)",45000.0,"Strategic
Partnerships:
Targeted Family
Supports for
Unduplicated Pupil
Population (UPP)
and Multilingual
Families (SCG)",798865.0,"Student Achievement:
Priority 4.F
Decrease the
percentage of Long
Term English Learners
(LTELs)
Data Source: CA
Dataquest
Reclassification Rate",,
Campbell Union High School District,english_learner_progress,English Learner Progress & Reclassification,0,14,2,5969383.0,2719660.2,2,2,0,0,0.0,2,2,0,0.0,"Staffing for
Professional
Development and
Program Monitoring
of Emerging
Multilingual Students",2059526.0,"Instructional Training
to Support Emerging
Multilingual Students",172456.0,"State Priority 4E. CA
School Dashboard
English Learner
Progress Indicator -
percentage of English
learners making
progress towards
English language
proficiency",on_track,+1.4%
Oak Grove School District,english_learner_progress,English Learner Progress & Reclassification,1,10,0,6650456.0,2686855.9,0,0,0,0,0.0,0,0,0,0.0,"Professional Development
Focused on Needs of
English Learners, Foster
Youth, Homeless Youth and",1213778.0,"English Learner Support
Staff",3019702.0,,,
Berryessa Union Elementary School District,ela_proficiency,ELA Proficiency & Literacy,0,18,4,4478221.11,2678722.81,0,0,0,0,0.0,0,0,0,0.0,"English Language Arts
(ELA) & English
Language Development
(ELD)- SEAL
Instructional Coach.",196905.0,"English Language Arts &
English Language
Development (ELD) -
SEAL Instructional
Coach",224986.0,"English Language Arts
(ELA) - SBAC
Data",,
Berryessa Union Elementary School District,english_learner_progress,English Learner Progress & Reclassification,0,20,3,3982561.93,2671630.35,0,0,0,0,0.0,0,0,0,0.0,"Summer School -
English Learners,
Elevate Math &
Computer Science",144962.0,"English Language
Arts & English
Language
Development (ELD) -
SEAL Instructional
Coach",211478.0,"EL Reclassification Rate
(# of RFEPs 7/1 -6/30
divide by # of students
tested for Summative)
CA School Dashboard",,
Mountain View Whisman School District,school_climate_suspension,"School Climate, Behavior & Suspension",0,5,2,1420553.0,923359.45,26,1,2,23,0.8846,2,0,2,1.0,"Supporting Student
Behavior",0.0,"Addressing
Suspension Rates -
Differentiated
Assistance",0.0,"State Priority 6
Suspension Rates",off_track,2023-24 California
Cambrian School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,15,0,3951700.0,2655987.5,0,0,0,0,0.0,0,0,0,0.0,"Integration of
Expanded Learning
Opportunities
Program (ELO-P)",933930.0,"Supplemental
Targeted Instruction
& Intervention",670120.0,,,
Los Gatos-Saratoga Union High School District,special_education_inclusion,Special Education & Inclusion,0,3,3,2433600.0,1703520.0,18,9,0,9,0.5,1,1,0,0.0,"Universal Design for
Learning (UDL)",37200.0,"Academic
Interventions (Not
Contributing)",1150000.0,"Percentage of students
meeting or exceeding
standard in Mathematics
on the Smarter Balanced
Summative Assessment
Source: California
Department of
Education, Test Results
for California's
Assessments (caaspp-
elpac.ets.org)
(Required Metric, State
Priority 4)",on_track,Year 1
Los Altos Elementary School District,english_learner_progress,English Learner Progress & Reclassification,0,4,3,5123873.0,2229601.55,7,5,1,1,0.1429,2,2,0,0.0,"ENGLISH
LEARNERS",1088339.0,"PROFESSIONAL
LEARNING/COLLAB
ORATION",507331.0,"EXTENDED LEARNING
OPPORTUNITIES
Extent to which students
have access to, and are
enrolled in, programs
and services developed
and provided to low
income, English learner
and foster youth (Priority
7B)
% invited
% participating",at_or_above_target,100% of eligible
Gilroy Unified School District,chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,0,3,2,1828880.0,1352039.75,11,7,0,4,0.3636,2,1,1,0.5,Attendance,522209.0,"3.4 Family
Engagement",489671.0,Attendance Rate,moving_away,-0.6%
Franklin-McKinley Elementary School District,family_community_engagement,Family & Community Engagement,0,11,6,3661617.0,2514485.15,0,0,0,0,0.0,0,0,0,0.0,"Strategic Partnership:
Implement Family
Engagement
Initiatives (SCG)",109000.0,"Strategic
Partnerships:
Targeted Family
Supports for
Unduplicated Pupil
Population (UPP)
and Multilingual
Families (SCG)",798865.0,"Parental Involvement:
Priority 3.A
Percent of parents who
responded Strongly
Agree or Agree to the
parent survey item:
Parents have
opportunities to give
input into the decision-
making process at
school
Data Source: Panorama
Survey",,
Franklin-McKinley Elementary School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,13,1,3432036.0,2509494.15,0,0,0,0,0.0,0,0,0,0.0,"Teaching and
Learning:
Acceleration and
Expanded Learning
Opportunities (SCG)",197300.0,"Teaching and Learning:
Acceleration and
Expanded Learning
Opportunities (SCG)",197300.0,"Parental Involvement:
Priority 3.B
Participation in the
Expanded Learning
Opportunities Program
(ELOP) for Low Income,
English Learner and
Foster Youth students.
Parent satisfaction with
the program (yes or
neutral responses).
Data Source: ELOP
survey participation rate",,
Evergreen Elementary School District Board of Trustees,chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,0,10,2,2247145.0,1417371.5,20,15,0,5,0.25,2,1,1,0.5,"Attendance and re-
engagement",78364.0,"Director of Child
Welfare Safety and
Attendance",268773.0,"Priority 5.A: Pupil
Engagement
(Engagement) District
Average Daily
Attendance rate as of
May 22nd
(Source: PowerSchool)",moving_away,All: +0.22%
Saratoga Union School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,10,0,3580970.0,2473205.0,0,0,0,0,0.0,0,0,0,0.0,"A district Attendance
Committee with
representatives from
each school will be
formed to create
district protocols and
build strategies at
each MTSS tier.
District CA
Dashboard data
shows LEA student
groups
(Socioeconomically
Disadvantaged
28.1% chronically
absent and Students
with Disabilities",0.0,"ELA/ELD
Interventions",5000.0,,,
